detail_name,outlet,selling_price,avg_selling_price,max_selling_price,min_selling_price
Aktion,3175,123.0,5.86,123.0,0.01
Antipasti variabler Preis,1505,356.76,41.64,356.76,0.01
BR Sonstige Lebensmittel,530,200.0,1.52,1329.48,0.01
BR Sonstige Lebensmittel,530,226.8,1.52,1329.48,0.01
BR Sonstige Lebensmittel,530,137.3,1.52,1329.48,0.01
BR Sonstige Lebensmittel,530,168.35,1.52,1329.48,0.01
BR Sonstige Lebensmittel,530,160.0,1.52,1329.48,0.01
BR Sonstige Lebensmittel,530,1329.48,1.52,1329.48,0.01
BR Sonstige Lebensmittel,530,366.4,1.52,1329.48,0.01
BR Sonstige Lebensmittel,530,725.4,1.52,1329.48,0.01
BR offen,303,104.3,5.87,1080.0,0.01
BR offen,303,175.0,5.87,1080.0,0.01
BR offen,303,208.6,5.87,1080.0,0.01
BR offen,303,140.0,5.87,1080.0,0.01
BR offen,303,315.0,5.87,1080.0,0.01
BR offen,303,102.0,5.87,1080.0,0.01
BR offen,303,1080.0,5.87,1080.0,0.01
Differenz. offen,428,394.68,40.28,780.83,0.01
Differenz. offen,428,780.83,40.28,780.83,0.01
Differenz. offen,428,344.3,40.28,780.83,0.01
Differenz. offen,428,137.88,40.28,780.83,0.01
Differenz. offen,428,254.35,40.28,780.83,0.01
Differenz. offen,428,308.04,40.28,780.83,0.01
Differenz. offen,428,157.04,40.28,780.83,0.01
Differenz. offen,428,161.95,40.28,780.83,0.01
Differenz. offen,428,143.78,40.28,780.83,0.01
Differenz. offen,428,246.21,40.28,780.83,0.01
Differenz. offen,428,197.37,40.28,780.83,0.01
Differenz. offen,428,134.3,40.28,780.83,0.01
Differenz. offen,428,216.22,40.28,780.83,0.01
Differenz. offen,428,262.2,40.28,780.83,0.01
Differenz. offen,428,137.31,40.28,780.83,0.01
Differenz. offen,428,206.04,40.28,780.83,0.01
Differenz. offen,428,310.18,40.28,780.83,0.01
Differenz. offen,428,139.33,40.28,780.83,0.01
Differenz. offen,428,122.73,40.28,780.83,0.01
Differenz. offen,428,293.31,40.28,780.83,0.01
Differenz. offen,428,161.93,40.28,780.83,0.01
Differenz. offen,428,161.73,40.28,780.83,0.01
Differenz. offen,428,128.82,40.28,780.83,0.01
Differenz. offen,428,170.52,40.28,780.83,0.01
Differenz. offen,428,146.15,40.28,780.83,0.01
Differenz. offen,428,181.14,40.28,780.83,0.01
